Start	End	Direction
836	317	1
836	572	1
836	581	1
836	596	-1
836	598	-1
836	637	1
836	790	1
836	839	1
836	840	1
836	840	0
836	841	1
836	5591	-1
836	5747	-1
836	6711	-1
836	6711	1
836	2620	1
836	2934	-1
836	2934	1
836	1676	-1
836	1676	1
836	4214	1
836	5062	1
836	142	-1
836	5925	-1
836	6093	1
836	331	-1
836	10018	1
836	0	1
836	1982	-1
836	4207	-1
836	5305	-1
836	10887	-1
836	5527	-1
836	22985	1
836	4170	-1
836	4719	-1
836	5339	0
839	836	1
839	840	0
839	1676	1
839	4000	-1
839	4000	1
839	4001	1
839	84823	1
839	5058	1
840	790	-1
840	790	1
840	842	1
840	5747	1
840	1676	1
840	142	-1
840	4207	-1
840	10887	-1
841	4217	-1
841	4217	1
841	637	1
841	843	-1
841	836	1
841	8797	0
841	8795	0
841	8772	0
841	248	1
841	9525	1
841	8737	-1
841	10887	-1
841	9191	1
842	836	-1
842	836	1
842	839	-1
842	839	1
842	840	1
847	6098	1
867	1956	-1
867	5335	0
867	7535	-1
867	916	-1
867	2263	-1
867	10818	-1
1387	3725	1
1387	1445	0
1387	1487	0
1387	1499	1
1387	1499	0
1387	2002	1
1387	2099	1
1387	7088	1
1387	7088	0
1387	3932	1
1387	2033	0
1387	8874	1
1387	8874	0
1387	5970	0
1387	4089	0
1387	6714	0
1387	6722	0
1387	6772	0
1387	6776	0
1387	3172	0
1387	1982	0
1387	7158	0
1387	8850	1
1387	8850	0
1387	6932	-1
1387	10011	1
6352	1232	0
890	983	1
890	983	0
890	1017	1
890	1017	0
890	1019	-1
890	1021	-1
890	1869	1
891	983	1
891	983	0
595	1019	0
595	4609	0
595	1869	1
595	5111	0
595	5467	0
595	5925	-1
595	5925	1
894	1019	0
894	5925	1
896	1021	0
896	5925	1
898	1017	0
898	55294	0
898	5111	0
898	5925	1
898	7314	0
1232	5544	0
1232	5545	0
1232	175	0
1232	2782	0
1232	2792	0
1232	6356	0
0	1385	1
0	3708	1
929	7097	1
929	7099	1
948	2534	0
948	1432	1
948	7057	0
920	7852	0
920	3932	0
920	7535	1
920	6955	0
958	959	0
958	7187	0
958	7189	0
5788	3932	1
995	983	-1
995	983	1
993	1017	1
993	1021	1
995	983	1
997	898	1
997	8454	0
997	1869	1
997	6500	0
997	7314	0
998	5871	1
998	4214	1
998	4293	1
998	5058	1
998	5879	0
998	8936	1
998	8826	0
998	4216	1
998	4294	1
998	4294	1
998	7454	1
998	10188	1
998	4296	1
999	4088	0
983	572	1
983	891	1
983	5347	1
1017	1869	1
1017	5715	1
1017	5111	0
1017	5925	1
1019	1021	0
1019	5111	0
1020	317	1
1020	84152	1
1020	5604	1
1020	5058	-1
1020	4137	1
1020	282378	-1
1020	4744	1
1020	6853	0
1020	6809	0
1021	596	-1
1021	5925	1
1022	1017	1
1022	902	0
1050	3725	-1
1111	995	-1
1111	995	1
1111	5545	-1
1111	7157	1
11200	672	1
11200	5545	-1
11200	7157	1
1123	5879	1
8646	659	-1
8646	9241	0
56616	332	1
56616	329	0
56616	248	-1
56616	8737	0
56616	8717	0
56616	7186	0
56616	331	-1
56616	331	0
56616	330	-1
56616	79444	-1
329	836	-1
329	840	-1
329	331	0
3725	1385	1
3725	1385	0
3725	2002	0
3725	2113	0
3725	2114	0
3725	2353	0
3725	3727	0
3725	11181	0
3725	10018	1
3725	8739	1
1452	4772	1
1452	11076	1
1452	7157	1
1455	84152	1
1456	1409	1
1456	5187	-1
1457	324	0
1457	637	-1
1457	638	1
1457	8215	1
1457	5601	-1
1457	5601	1
1457	6722	1
1457	7471	1
137529	26270	0
137529	5715	0
137529	6500	0
137529	6502	0
9575	406	1
4094	4772	0
4609	1029	1
4609	5467	0
4609	6667	1
1073	317	1
1385	1387	1
1385	2353	0
1385	2668	1
1385	0	1
1385	8660	1
1385	2959	1
1385	6872	1
1390	1385	-1
1390	30818	-1
1390	30818	0
1390	57576	0
1398	25	1
1398	2889	1
1398	1793	1
1398	1956	0
1398	11184	1
1398	9564	0
1398	2185	0
1398	5829	0
1398	6464	0
1398	9743	1
1398	85021	0
1399	2889	1
1399	1793	1
1399	9564	0
1409	581	-1
1409	598	-1
1436	2113	1
1436	6196	1
1436	1435	0
1445	5747	1
1445	3932	-1
1445	4067	-1
1445	5567	0
1445	5829	1
1445	6714	-1
1445	55824	0
1482	64100	0
1482	2626	0
1482	9421	0
1482	9464	0
1482	4772	0
1482	6722	0
1487	1499	0
1487	7088	0
1487	4842	0
1487	7341	0
1487	3172	1
1487	3172	0
1487	6935	0
1487	8204	-1
5932	672	1
1499	1387	1
1499	9734	-1
1499	5663	0
1499	3172	-1
1499	3172	0
1499	7314	1
1499	7314	0
1499	1495	0
1499	8826	0
1499	51176	-1
1499	51176	1
1499	6932	1
1499	10194	0
1509	1738	0
8454	4738	0
8454	9978	0
8454	6500	0
8454	9040	0
7852	6387	0
54205	317	1
54205	834	1
54205	56616	1
54205	5187	1
25802	820	1
28503	5495	1
1600	7436	0
1605	1040	1
1605	27124	0
1605	50818	1
1605	5578	1
1605	23236	0
1605	5335	0
1605	10125	1
84152	1020	-1
84152	2644	1
84152	5464	-1
84152	5501	-1
1616	4217	1
1616	8772	0
1616	355	0
1616	1676	0
1616	6416	1
1616	8737	0
1616	7132	0
5694	898	1
5694	1499	1
5694	1869	1
5694	4193	1
5694	5715	1
5694	6622	1
1040	50818	1
0	2911	1
1730	5216	1
22943	4040	0
22943	7471	-1
22943	83999	0
22943	4035	-1
5591	7157	1
1793	207	1
0	25802	1
0	28503	1
0	1812	1
0	1813	1
0	1814	1
7027	898	1
7027	1869	0
11218	4233	0
11218	2117	0
8718	841	1
8718	8717	0
30818	1385	-1
30818	1385	1
30818	2353	1
30818	0	-1
30818	3750	-1
30818	3751	-1
30818	8739	-1
8215	2931	-1
8215	2932	-1
8215	5494	0
0	5610	1
8655	4914	0
8655	5879	1
8655	10018	-1
64100	9464	0
64100	4208	0
64100	4772	0
2118	1629	0
2118	1029	1
1629	1738	0
1629	3091	0
1629	4193	0
1629	7157	0
1629	7314	0
1869	637	1
1869	7027	1
1869	1029	1
1869	5925	-1
1869	5925	1
1869	5925	0
1869	6502	0
1869	4088	1
1869	7314	0
1869	10018	1
1869	8739	1
1869	5366	1
1869	27113	1
1874	5933	0
1738	2597	0
1738	7341	1
10682	1977	-1
10682	1981	1
6461	2002	0
6461	6722	0
51295	4214	1
1901	5545	0
1901	175	0
1901	2782	0
1901	2792	0
1901	8720	0
1909	4683	1
1909	1906	0
1950	1956	1
1950	1956	0
1956	843	1
1956	867	1
1956	2064	1
1956	2064	0
1956	9628	0
1956	2885	1
1956	2885	0
1956	3716	0
1956	5604	1
1956	4214	1
1956	4772	1
1956	1432	1
1956	5290	0
1956	5335	1
1956	5335	0
1956	2185	1
1956	5879	1
1956	29984	1
1956	6464	1
1956	6464	0
1956	6654	0
1956	6714	1
1956	6714	0
1956	6772	1
1956	6774	1
1956	7409	1
1956	8936	1
1956	2035	1
1956	4690	1
1956	5921	1
1956	2065	1
1956	6646	1
1959	572	1
1959	1960	0
1959	664	1
1959	665	1
1978	1973	1
1978	1977	-1
1978	1977	1
1965	1967	0
1965	1968	0
1965	0	0
1965	92170	0
1965	0	0
1967	1965	-1
1967	1965	1
1967	1968	0
1967	0	0
1967	92170	0
1967	1147	1
1968	0	0
1968	92170	0
8661	1973	1
8661	1973	0
8661	1977	0
8661	1981	0
8661	1982	0
1973	1975	0
1973	1981	0
1973	6194	1
1973	1982	0
1975	1973	1
1975	1977	0
1975	6194	1
1975	0	0
1977	1981	0
1977	1982	0
1977	0	0
1981	8569	0
1983	1965	1
2002	3725	1
2002	2353	1
2002	6722	0
2002	0	1
2002	6932	0
10411	0	1
10411	5906	1
10411	54386	1
2056	2057	0
2056	3479	0
2056	3562	0
2057	3717	0
2057	5335	0
2057	6464	1
2057	5777	0
2069	6294	0
2069	0	0
2099	27043	0
2099	6714	0
2064	2885	1
2064	5290	1
2064	5335	1
2064	6464	1
2064	6714	1
2064	55914	0
2064	1740	0
2064	1742	0
2064	5921	1
2064	1741	0
2064	6640	1
2064	2886	1
6294	0	0
5595	2002	1
5595	4638	1
5595	8569	1
5595	9252	1
5595	6196	1
5595	2872	1
5595	10524	1
5595	8986	1
5594	842	-1
5594	1387	1
5594	3725	1
5594	1385	1
5594	1956	1
5594	1958	1
5594	2002	1
5594	5595	1
5594	2353	1
5594	5599	-1
5594	9261	1
5594	4082	1
5594	4638	1
5594	8569	1
5594	9252	1
5594	6196	1
5594	5163	1
5594	27124	1
5594	5319	1
5594	6197	1
5594	6773	1
5594	4137	1
5594	3172	1
5594	10256	0
5594	3751	1
5594	4207	1
5594	79092	1
5594	4744	-1
5594	4741	-1
5594	9373	1
5594	6195	1
5594	10657	1
5594	6853	-1
5594	2872	1
5594	10524	1
5594	8986	1
5598	4205	1
5598	6196	1
5598	7020	1
0	2069	1
0	53615	1
2113	2114	0
2114	2113	1
2114	2353	0
2159	2155	0
2160	2158	1
2165	2147	1
2147	2243	1
2147	2149	1
2152	2155	0
2152	2158	0
2152	2153	0
2155	2159	1
2155	2158	0
8772	843	1
8772	841	1
8772	2188	0
8772	355	0
8772	1676	0
8772	8837	0
8772	4615	-1
8772	4790	1
8772	8737	0
8772	6609	1
8772	7132	0
8772	8717	0
8772	7189	0
8772	9191	1
8772	9994	0
5747	5594	1
5747	2534	1
5747	2885	1
5747	3569	1
5747	3667	0
5747	3672	0
5747	3688	0
5747	9564	1
5747	9564	0
5747	5290	1
5747	5335	1
5747	2185	0
5747	5829	1
5747	5829	0
5747	6464	1
5747	6714	1
5747	6714	0
5747	7094	0
5747	89	-1
5747	50807	1
5747	23092	1
5747	2886	1
5747	1969	1
8439	6610	1
8439	7132	0
2175	2176	0
2175	2189	0
2176	2178	0
2176	2189	0
2177	2178	0
2177	7314	0
2178	2177	1
2178	2188	0
2178	2189	0
2188	2189	0
2188	355	0
2191	841	-1
2191	2188	-1
355	1616	1
355	1956	1
355	8772	1
355	356	-1
355	356	0
355	1676	0
355	3552	1
355	4790	1
355	8737	1
355	5777	1
355	7430	0
355	11124	0
355	10016	0
355	5783	0
355	23017	0
356	355	-1
356	355	1
55294	26270	0
55294	6500	0
26270	6500	0
26270	6502	0
0	0	1
2243	3688	1
2309	356	1
2309	10018	1
2322	4254	0
0	427	1
2353	3725	1
2353	5599	0
2353	3727	0
2354	3727	0
10023	2931	-1
10023	2932	-1
8321	8215	1
8321	175	1
8321	4040	0
8321	3936	-1
8321	3936	1
8321	7471	0
8321	408	1
2488	2492	1
9971	6256	0
2534	1499	1
2534	1600	1
2534	3688	0
2534	3717	0
2534	5335	1
2534	6464	1
2534	6464	0
2534	6773	1
2534	2890	1
2534	775	1
2534	2903	1
2534	1740	0
2534	1742	0
2534	10657	0
2534	203068	1
5544	175	0
5544	2782	0
5544	2792	0
5545	2782	0
2597	3315	0
175	8215	1
175	5595	1
175	2776	1
175	2782	0
175	23566	0
175	2792	1
175	2792	0
175	5294	1
175	5335	0
175	107	0
2548	2782	0
2548	0	0
2548	92170	0
2549	1398	1
2549	2885	0
2549	11184	1
2549	4233	0
2549	5295	1
2549	5290	-1
2549	5290	1
2549	2185	0
2549	5829	0
2549	5781	0
2549	4215	-1
1647	983	-1
1647	4216	1
2770	427	-1
2770	2782	-1
2770	2782	0
2770	0	0
2770	92170	0
2770	2792	0
2770	5290	1
2770	5294	1
2770	5879	1
2770	6714	1
2770	673	1
2770	5909	1
2770	629	1
9628	92170	1
9628	5156	0
9628	5879	1
2776	2782	0
2776	0	0
2776	23566	0
2776	92170	1
2776	92170	0
2776	2792	0
2776	5604	1
2776	23236	1
2776	23236	0
2776	5335	0
2776	3339	1
2626	6767	1
2626	4208	0
2626	4772	0
2626	6722	1
2626	6722	0
2782	2770	1
2782	9181	1
2782	2767	0
2782	2768	0
2782	10672	0
2782	2792	1
2782	2792	0
2782	5074	0
2782	5290	1
2782	7275	0
79751	92170	1
2978	83733	1
5871	4214	1
440275	1965	-1
1440	3589	0
1440	4254	0
0	1965	1
0	92170	1
0	3838	1
0	5295	1
0	5062	1
0	5894	1
0	5901	1
0	5901	0
0	5879	1
0	5879	0
0	387	1
9181	207	1
9181	375	1
9181	392	1
9181	5879	1
9181	29984	1
9181	203068	0
2934	842	-1
2934	280979	-1
2934	832	0
2670	7314	1
9771	2885	0
9771	5290	0
9771	5567	1
2688	2690	1
2688	2690	0
2690	3479	1
2690	3667	0
2690	3717	0
2690	5290	1
2767	427	1
2767	891	1
2767	2776	1
2767	5606	1
2767	10857	0
2767	4661	-1
2767	23236	1
2767	629	1
0	2908	0
1437	3562	0
1437	4254	0
2768	11214	1
2768	9138	1
2768	23566	0
2768	2792	0
2768	387	1
2768	10160	1
2768	6714	1
2768	5921	1
2768	1902	0
